,_id,lat,lon,screen_name,tweets,followers
23,606cb0b19d9b439a792262c1,51.5135498,-0.12950725187027015,RichDGregory3,5119,2493
24,606cb0b29d9b439a792262c2,54.702354500000006,-3.2765752999999997,IBIS_journal,75584,17896
25,606cb0b29d9b439a792262c3,52.2109495,-2.1569555132422207,peterjohnhowe,9986,652
26,606cb0b39d9b439a792262c4,52.661252000000005,-8.630123900000001,CsiRivers,2101,1387
27,606cb0b49d9b439a792262c5,56.3403902,-2.7955843999999996,CREEM_cake,926,967
28,606cb0b49d9b439a792262c6,40.8602595,-73.44766339737177,JasonWilliamsNY,77282,4371
29,606cb0b49d9b439a792262c7,53.1673422,-2.2928802778613573,CECRangers,38484,5016
30,606cb0b59d9b439a792262c8,53.62785160000001,-113.46865220000001,JonesDyan,7986,246
31,606cb0b69d9b439a792262c9,52.865196,-7.9794599,sueatkilmeedy,129541,1574
32,606cb0b69d9b439a792262ca,54.702354500000006,-3.2765752999999997,BESInvasionSci,3530,1831
33,606cb0b69d9b439a792262cb,46.603353999999996,1.8883334999999999,C_Francesiaz,691,505
34,606cb0b79d9b439a792262cc,51.4412092,-0.9453853999999999,drmgoeswild,31435,4379
35,606cb0b79d9b439a792262cd,-29.861825,31.009909000000004,SuvarnaPB,425,57
36,606cb0b89d9b439a792262ce,52.517036499999996,13.388859900000002,LouvrierJulie,838,691
37,606cb0b89d9b439a792262cf,48.2083537,16.372504199999998,zsi_fe,5288,1298
38,606cb0ba9d9b439a792262d0,51.324162,-1.903248669900225,notbovvered,24342,2047
39,606cb0ba9d9b439a792262d1,52.517036499999996,13.388859900000002,S_VoigtHeucke,718,358
40,606cb0bb9d9b439a792262d2,50.735851000000004,7.10066,NKS_Horizon_EU,3262,718
41,606cb0bb9d9b439a792262d3,40.416704700000004,-3.7035824999999996,MaribelMS20,375,24
42,606cb0bc9d9b439a792262d4,51.0,10.0,EUCitSciProject,4244,3818
43,606cb0bd9d9b439a792262d5,53.3497645,-6.2602732,4DWoodlands,261,262
44,606cb0bd9d9b439a792262d6,1.357107,103.81949920000001,CandydeLauney,1843,75
45,606cb0bd9d9b439a792262d7,53.479489199999996,-2.2451147999999996,TheCeefax,45774,601
46,606cb0be9d9b439a792262d8,56.78611120000001,-4.1140517999999995,ScotSciChief,2657,2096
47,606cb0be9d9b439a792262d9,43.159566399999996,-4.0878382,NatureaCant,16907,6452
48,606cb0bf9d9b439a792262da,41.6521342,-0.8809428,CCiudadanaEs,11841,3045
49,606cb0bf9d9b439a792262db,52.260999700000006,-7.111908099999999,TheGrowProject1,246,198
50,606cb0c09d9b439a792262dc,-41.5000831,172.83440769999999,emmahudsondoyle,3503,626
51,606cb0c19d9b439a792262dd,-14.727777800000002,144.77583330000002,RutgerDankers,1040,332
52,606cb0c19d9b439a792262de,51.9994572,4.362724538543995,ihedelft,12857,16604
53,606cb0c29d9b439a792262df,-42.8825088,147.3281233,NESPmarinehub,3367,1338
